pps,scapy-sctp,tcpdump-sctp,libpcap-sctp,pypcap-sctp,rawsocket-sctp,ebpf-sctp
1000,0.8523825391536155,0.919026991002999,1.2335888037320892,1.1389536821059647,1.0113295568143952,1.0
2000,0.8403599400099984,0.9388435260789868,1.0,1.0,1.0,1.0
3000,0.8489056771469836,0.9766692589712255,1.0,1.0,1.0,1.0
4000,0.871427381051579,1.0484126322806433,1.05157903508041,1.0081659861678194,1.0,1.0
5000,0.8048130124658356,0.9958002799813346,1.0,1.0,1.0,1.0
6000,0.7200711071607133,0.9988889506138547,1.0,1.0,1.0,1.0
7000,0.6013523165563545,0.99957144897862,1.0109518594352649,1.0,1.0,1.0
8000,0.5409357943419024,1.0416232656972626,1.004916461814091,1.0,1.0,1.0
9000,0.48875967556757155,0.9951483278397096,1.0,1.0,1.0,1.0
10000,0.4646845105163161,0.9981000633312223,1.0,1.0,1.0,1.0
11000,0.34992879003666555,0.9909396684948941,1.0,1.0,1.0,1.0
12000,0.32632426877031195,0.995916780089442,1.0,1.0,1.0,1.0
13000,0.33694007845952667,0.9900258967718777,1.0,1.0,1.0,1.0
14000,0.29894526320801884,0.9943572772076855,1.0,1.0,1.0,1.0
15000,0.2690829092686829,0.998111153085487,1.0,1.0,0.9898891135752539,1.0
16000,0.2460365409053978,0.9931876419241266,1.0,1.0,0.9977500468740235,1.0
17000,0.26219093743259936,0.9965686947314758,1.0,1.0,0.9981568988843356,1.0
18000,0.2366622840317772,0.9995740819614451,1.0,1.0,1.0,1.0
19000,0.2206978824932896,0.9953509587551096,1.0,1.0,0.9994561498921072,1.0
20000,0.22276295395076748,0.9981166980550324,1.0,1.0,1.0,1.0
